SN,STATE NAME,DISTRICT NAME,STATION NAME,CLASS,LAT,LON,HEIGHT(MTR),CATCH
263,ARUNACHAL,TAWANG,TAWANG, ,27.36,91.52,3025,504
264,ARUNACHAL,TIRAP,KHONSA,OBSY,26.59,95.30,0899,504
265,ARUNACHAL,TIRAP,DEOMALI,HYDRO,26.55,95.16,2005,504
266,ARUNACHAL,TIRAP,NAMPONG,HYDRO,27.17,96.09,0300,504
267,ARUNACHAL,UPPER SIANG,TUTING, ,28.55,94.51,0850,501
268,ARUNACHAL,UPPER SIANG,YINGKIONG, ,28.38,95.02,0440,501
269,ARUNACHAL,UPPER SUBANSIRI,DAPARIJO,OBSY,28.13,95.10,0248,501
270,ARUNACHAL,WEST KAMENG,BHALUKPONG,HYDRO,27.03,92.42,0152,504
271,ARUNACHAL,WEST KAMENG,KALAKTANG, ,27.07,92.07,1113,504
272,ARUNACHAL,WEST KAMENG,BOMDILA, ,27.18,92.30,2484,504
273,ARUNACHAL,WEST SIANG,MECHUKA, ,28.36,94.08,1940,501
274,ARUNACHAL,WEST SIANG,BASAR, ,27.58,94.41,0600,502
275,ARUNACHAL,WEST SIANG,ALONG, ,28.10,94.48, ,502
276,ASSAM,CACHAR,SILCHAR,OBSY,24.49,92.48,0021,326
277,ASSAM,CACHAR,DHOLAI,HYDRO,24.35,92.51,0027,326
278,ASSAM,CACHAR,AMROGHAT,HYDRO,24.34,92.59,0018,326
279,ASSAM,CACHAR,LAKHIPUR,HYDRO,24.47,93.00,0023,326
280,ASSAM,DARRANG,TANGLA,OBSY,26.39,91.55,0078,504
281,ASSAM,DARRANG,MAJBAT,OBSY,26.45,92.21,0120,504
282,ASSAM,GOALPARA,GOLPARA/BARPETA,HYDRO,26.10,90.38,0038,504
283,ASSAM,KAMRUP,RANGIA,OBSY,26.26,91.37,0060,504
284,ASSAM,KAMRUP,GUWAHATI��� AP,OBSY,26.06,91.35,0054,504
285,ASSAM,KAMRUP,PUTHIMARI,HYDRO,26.20,91.40,0049,504
286,ASSAM,KAMRUP,KHANAPARA,OBSY,26.11,91.48, ,504
287,ASSAM,LAKHIMPUR,N.LAK/LILABARI,OBSY,27.14,94.07,0102,502
288,ASSAM,LAKHIMPUR,CHAULDAUGHT,HYDRO,27.25,94.18,0100,502
289,ASSAM,LAKHIMPUR,BADATIGHAT,HYDRO,26.56,93.58,0084,504
290,ASSAM,N.C.HILLS,JATINGA VALLEY, ,25.08,93.00,0747,326
291,ASSAM,N.C.HILLS,HALFLONG,OBSY,25.10,93.01,0682,504
292,ASSAM,NOWGONG,LUMDING,OBSY,25.45,93.11,0149,504
293,ASSAM,NOWGONG,CHAPARMUKH,OBSY,26.12,92.31,0066,504
294,ASSAM,NOWGONG,KAMPUR,HYDRO,26.10,92.40,0061,504
295,ASSAM,SIBSAGAR,SIBSAGAR,HYDRO,26.59,94.38,0097,504
296,ASSAM,SIBSAGAR,BIHUBAR,HYDRO,26.50,94.45,0110,504
297,ASSAM,BARPETA,MATHUNGARI,HYDRO,26.48,90.59,0100,503
298,ASSAM,BARPETA,BEKY RLY.BRIDGE,HYDRO,26.30,91.00,0048,503
299,ASSAM,BARPETA,MANAS NH XING, , . , . , , 
300,ASSAM,DHUBRI,DHUBRI,OBSY,26.01,89.59,0035,504
301,ASSAM,DHUBRI,DHUBRI/RUPSIAERO,OBSY,26.09,89.55,0045,504
302,ASSAM,DIBRUGARH,DILLIGHAT,HYDRO,26.59,94.37,0135,504
303,ASSAM,DIBRUGARH,KHOWANG,HYDRO,27.20,94.50, ,504
304,ASSAM,DIBRUGARH,D/MOHANBARIAERO,OBSY,27.29,95.01,0111,504
305,ASSAM,DIBRUGARH,NAHAR KATIA,HYDRO,27.15,95.20, ,504
306,ASSAM,JORHAT,JORHAT,HYDRO,26.44,94.10, ,504
307,ASSAM,JORHAT,NEAMATIGHAT,HYDRO,26.52,94.15,0091,504
308,ASSAM,KARBI ANGLONG,KHERONIGHAT,HYDRO,25.50,92.50,0088,504
309,ASSAM,KARBI ANGLONG,BOKAJAN,HYDRO,26.01,93.47, ,504
310,ASSAM,KARIMGANJ,KARIMGANJ, ,24.52,92.21,0017,326
311,ASSAM,KOKRAJHAR,GOSAIGAON,HYDRO,26.25,90.00,0050,503
312,ASSAM,KOKRAJHAR,KOKRAJHAR,HYDRO,26.23,90.16,0049,503
313,ASSAM,SONITPUR,TEZPUR,OBSY,26.37,92.47,0079,504
