Month,District_State,MaxTemperature
2000-01,"PALAKKAD, KERALA",36.65300
2000-01,"KRISHNA, ANDHRA PRADESH",36.24750
2000-01,"SURAT, GUJARAT",36.12700
2000-01,"EAST GODAVARI, ANDHRA PRADESH",35.91800
2000-01,"GUNTUR, ANDHRA PRADESH",35.86900
2000-01,"KOLHAPUR, MAHARASHTRA",35.79650
2002-12,"NORTH GOA, GOA",37.81000
2002-12,"SURAT, GUJARAT",37.01600
2002-12,"DANGS, GUJARAT",36.00400
2002-12,"KAIRA/KHEDA, GUJARAT",35.73600
2002-12,"NANDURBAR, MAHARASHTRA",35.67100
2002-12,"BARODA, GUJARAT",35.54100
2002-12,"PANCH-MAHALS, GUJARAT",35.47300
2002-12,"SABARKANTHA, GUJARAT",35.26600
2002-12,"AHMEDABAD, GUJARAT",35.13200
2002-12,"KOLHAPUR, MAHARASHTRA",35.12100
2012-08,"AMRITSAR, PUNJAB",47.57400
2012-08,"FEROZEPORE, PUNJAB",47.40500
2012-08,"FARIDKOT, PUNJAB",47.15500
2012-08,"BHATINDA, PUNJAB",45.61400
2012-08,"JULLUNDAR, PUNJAB",44.68300
2012-08,"GANGANAGAR, RAJASTHAN",44.59700
2012-08,"CHANDIGARH, CHANDIGARH",44.22800
2012-08,"HISSAR, HARYANA",44.01200
2012-08,"HANUMANGARH, RAJASTHAN",43.94000
2012-08,"KAPURTHALA, PUNJAB",43.90700
2004-02,"HAVERI, KARNATAKA",40.91000
2004-02,"DHARWAR, KARNATAKA",40.39350
2004-02,"NORTH GOA, GOA",40.28300
2004-02,"CHANDRAPUR, MAHARASHTRA",40.16350
2004-02,"BALASORE, ORISSA",39.92400
2004-02,"GADAG, KARNATAKA",39.49550
2004-02,"ADILABAD, TELANGANA",39.37900
2004-02,"JAJPUR, ORISSA",39.35600
2004-02,"SANGLI, MAHARASHTRA",39.30100
2004-02,"DANTEWARA, CHATISGARH",39.23950
2012-02,"MALKANGIRI, ORISSA",41.37700
2012-02,"THIRUVALLUR, TAMILNADU",40.91900
