Month,District_State,MinTemperature
2012-08,"BADGAM, JAMMU AND KASHMIR",12.35400
2012-08,"SRINAGAR, JAMMU AND KASHMIR",12.35400
2004-02,"KARGIL, JAMMU AND KASHMIR",-34.61400
2004-02,"LADAKH, LADAKH",-33.24800
2004-02,"LAHUL AND SPITI, HIMACHAL PRADESH",-15.76050
2004-02,"KINNAUR, HIMACHAL PRADESH",-15.15300
2004-02,"BARAMULLA, JAMMU AND KASHMIR",-9.79300
2004-02,"KUPWARA, JAMMU AND KASHMIR",-8.38600
2004-02,"PULWAMA, JAMMU AND KASHMIR",-8.31400
2004-02,"ANANTNAG, JAMMU AND KASHMIR",-6.61200
2004-02,"BADGAM, JAMMU AND KASHMIR",-6.54700
2004-02,"SRINAGAR, JAMMU AND KASHMIR",-6.54700
2012-02,"LADAKH, LADAKH",-38.50350
2012-02,"KARGIL, JAMMU AND KASHMIR",-35.83500
2012-02,"PULWAMA, JAMMU AND KASHMIR",-12.33800
2012-02,"BARAMULLA, JAMMU AND KASHMIR",-11.97700
2012-02,"KUPWARA, JAMMU AND KASHMIR",-11.57300
2012-02,"KINNAUR, HIMACHAL PRADESH",-10.47100
2012-02,"LAHUL AND SPITI, HIMACHAL PRADESH",-9.95100
2012-02,"ANANTNAG, JAMMU AND KASHMIR",-8.24800
2012-02,"SRINAGAR, JAMMU AND KASHMIR",-4.62900
2012-02,"BADGAM, JAMMU AND KASHMIR",-4.62900
2006-03,"KARGIL, JAMMU AND KASHMIR",-29.94100
2006-03,"LADAKH, LADAKH",-29.28500
2006-03,"LAHUL AND SPITI, HIMACHAL PRADESH",-9.89500
2006-03,"KINNAUR, HIMACHAL PRADESH",-8.43600
2006-03,"BARAMULLA, JAMMU AND KASHMIR",-4.28800
2006-03,"PULWAMA, JAMMU AND KASHMIR",-3.83400
2006-03,"KUPWARA, JAMMU AND KASHMIR",-2.29400
2006-03,"BADGAM, JAMMU AND KASHMIR",-2.19900
2006-03,"SRINAGAR, JAMMU AND KASHMIR",-2.19900
2006-03,"ANANTNAG, JAMMU AND KASHMIR",-1.17700
2010-03,"KARGIL, JAMMU AND KASHMIR",-19.90900
2010-03,"LADAKH, LADAKH",-18.51950
2010-03,"LAHUL AND SPITI, HIMACHAL PRADESH",-5.73000
2010-03,"KINNAUR, HIMACHAL PRADESH",-5.24550
2010-03,"BARAMULLA, JAMMU AND KASHMIR",-3.67200
2010-03,"KUPWARA, JAMMU AND KASHMIR",-2.85800
2010-03,"PULWAMA, JAMMU AND KASHMIR",-1.39100
2010-03,"BADGAM, JAMMU AND KASHMIR",-0.31500
