Month,District_State,MinimumRelativeHumidity
2010-04,"VARANASI, UTTAR PRADESH",0.06997
2010-04,"S.RAVIDAS NAGAR, UTTAR PRADESH",0.07024
2010-04,"BIKANER, RAJASTHAN",0.07058
2010-04,"KODARMA, JHARKHAND",0.07058
2010-04,"SAWAI MADHOPUR, RAJASTHAN",0.07060
2010-04,"KARAULI, RAJASTHAN",0.07096
2002-03,"PATAN, GUJARAT",0.05677
2002-03,"KAIRA/KHEDA, GUJARAT",0.05772
2002-03,"PALI, RAJASTHAN",0.05986
2002-03,"UDAIPUR, RAJASTHAN",0.06072
2002-03,"SIROHI, RAJASTHAN",0.06242
2002-03,"JHALAWAR, RAJASTHAN",0.06345
2002-03,"DUNGARPUR, RAJASTHAN",0.06382
2002-03,"BARAN, RAJASTHAN",0.06383
2002-03,"BANASKANTHA, GUJARAT",0.06388
2002-03,"RAJASMAND, RAJASTHAN",0.06424
2011-05,"NAINITAL, UTTARAKHAND",0.09744
2011-05,"FARIDKOT, PUNJAB",0.09912
2011-05,"GANGANAGAR, RAJASTHAN",0.10328
2011-05,"BHARATPUR, RAJASTHAN",0.10895
2011-05,"SHAHJAHANPUR, UTTAR PRADESH",0.10992
2011-05,"PILIBHIT, UTTAR PRADESH",0.11040
2011-05,"DAUSA, RAJASTHAN",0.11068
2011-05,"CHAMPAWAT, UTTARAKHAND",0.11118
2011-05,"UDHAMSING NAGAR, UTTARAKHAND",0.11133
2011-05,"DHOLPUR, RAJASTHAN",0.11206
2000-02,"KAIRA/KHEDA, GUJARAT",0.07336
2000-02,"BARODA, GUJARAT",0.08612
2000-02,"RAJGARH, MADHAYA PRADESH",0.09623
2000-02,"SHAJAPUR, MADHAYA PRADESH",0.09669
2000-02,"JHABUA, MADHAYA PRADESH",0.09705
2000-02,"JHALAWAR, RAJASTHAN",0.09811
2000-02,"PATAN, GUJARAT",0.09954
2000-02,"UJJAIN, MADHAYA PRADESH",0.10125
2000-02,"NEEMUCH, MADHAYA PRADESH",0.10183
2000-02,"BANASKANTHA, GUJARAT",0.10215
2000-01,"OSMANABAD, MAHARASHTRA",0.11731
2000-01,"SHOLAPUR, MAHARASHTRA",0.12412
2000-01,"BIDAR, KARNATAKA",0.12518
2000-01,"BARODA, GUJARAT",0.12619
2000-01,"BHIR, MAHARASHTRA",0.12795
2000-01,"PARBHANI, MAHARASHTRA",0.12878
2000-01,"KAIRA/KHEDA, GUJARAT",0.13130
2000-01,"LATUR, MAHARASHTRA",0.13130
2000-01,"HINGOLI, MAHARASHTRA",0.13245
2000-01,"JALNA, MAHARASHTRA",0.13332
2002-12,"KINNAUR, HIMACHAL PRADESH",0.05341
2002-12,"DEHRA DUN, UTTARAKHAND",0.08696
2002-12,"GARWAL PAURI, UTTARAKHAND",0.09851
2002-12,"MANDI, HIMACHAL PRADESH",0.10186
2002-12,"UDHAMPUR, JAMMU AND KASHMIR",0.10721
2002-12,"ALMORA, UTTARAKHAND",0.10885
2002-12,"CHAMBA, HIMACHAL PRADESH",0.10893
